,Username,location,date,content,Rating
17,Sam,GB,"Jun 10, 2023","At the point of not buying cokeSo I’m the Uk we get the new Coke in zero only…I will not ever buy zero. I have loved Coke since I was a child but I’ve been turned off with all this sugar tax avoidance…no one in the Uk wants less sugar in products…why should everyone have to pay because the few don’t know how to self controlDate of experience: June 10, 2023",1
18,Manu Manu,GB,"Feb 21, 2024","tastes worse than the cheapest competitorBought an ''original taste'' bottle as it was on offer with some pizza. Placed in the fridge in the morning so it's cold enough for later in the evening. Poured in a glass and I instantly noticed a lack of carbonation because cocacola usually foams up a lot. It tasted nowhere near like I remember it. Instead it tasted about as flat as if I had left the bottle opened for 2-3 days, nowhere near the original fizz, just tasted like some old out of date vile thing.I never finished the glass, and it all went in the sink with me wondering if it was even safe to drink.Date of experience: February 20, 2024",1
19,Michelle,GB,"Jul 9, 2023","Crazy, stupid new Lid debacleI am not sure what bright spark decides to make the lids unattachable on your bottles,  but it is literally the worst idea ever. It is nye on impossible to get the lid back on securely without leaks and if you do manage it, trying to close it tightly results in skin cuts from the jagged Lid attachments.  I don't know why you are trying to invent the wheel, it was not broken, so why try and fix it.  There was absolutely no issue with the detachable lids previously.  It is an extremely poor show and needs to revert to the original design asap. Crazy, useless invention that causes damage to the user and you are going to end up with claims for cuts and lacerations.  Time for a major rethink and putting right what was never wrongDate of experience: July 09, 2023",1
20,Edytas Chrisgrace,GB,"Dec 29, 2023","Something is wrong with coca cola…Something is wrong with coca cola classic. It tastes like there would be some sweetener in it or less gas or something. It starts to iritate me, if that will repeat itself I am out, no more coca cola for me or my kids. Can not digest this zero and similar tastes. Had some glass coca cola recently in restaurant, lovely like always had Pepsi in the other restaurant horrid, labell said sugar and sweetener, bye bye Pepsi. Keep it to original receipt! What is wrong will all of you !!!Date of experience: December 29, 2023",2
21,Chris,GB,"Dec 15, 2022","Too many advertsI'm now going to switch to drinking Pepsi just because you play far too many adverts on the radio and have irritated me that much you have spoiled a good drink by trying to ram your stupid adverts down everyone's throat. Pepsi Gets the 5 Star from me.Date of experience: December 15, 2022",1
22,Steve Tessier,CA,"May 19, 2024","I gave up Coca-Cola after HFCSI gave up Coca-Cola after they changed to HFCS. They claim that there was a no difference in taste? That’s not true and no longer the real thing. I recognize cane sugar. Try putting that crap in chocolate or candy. They don’t even offer Cane Sugar like Pepsi. I drink Pepsi with cane sugar and like it better. Plus I do not care to support Coca-Cola over it’s support of Israel’s Genocide.Date of experience: May 19, 2024",1
23,Rob James,GB,"Aug 11, 2023","Your stupid attachments are…Your stupid attachments are really infuriating! Did you only sample from Generation Useless for your focus groups on this? (they are probably now vetting my post anyway, so no doubt my view runs a high risk of being 'cancelled' ...).  Personally, I always attached the cap to the bottle anyway! But then again, I am not useless. Do better, for crying our loud ... Put money into eduction for that generation. Everyone else has forgotten them. They  have damaging and misguided beliefs, mainly due to what Gen X (surely now 'we') invented, driven by our own greed ...  The question is: Can some large corporations help to fix what other misguided ones have destroyed? Net environmental harm should of course be zero (notwithstanding today's incredible  -- literally: for anyone who remembers what that word really means; in a world that 'feels like' but never 'thinks' ... -- media bilge.)Date of experience: August 11, 2023",1
24,Rolix Rolix,ZA,"Oct 11, 2024","worldwide its the best drink also found…worldwide its the best drink also found in different bottle size . You can buy for a whole family and enjoy the coolness of coca colaDate of experience: October 11, 2024",5
25,Forty Seven,GB,"Jun 7, 2024","Wouldn't use any machinery from these lot we was sold a post mix machine back in 2021 and since then nothing but trouble.two major leaks that flooded the bar then we decided to turn the machine off and have it removed.The interesting thing when the machine was switched off is how much energy it added to our electricity billAfter switching it off our bills dropped £170 a month!!!!!When we agreed to take the machine at no point was I told that it would add so much to our bills.So two days ago two lads come down to remove the machine but in the process damaged the water filter unit attached to the coffee machine , they said nothing and went on there way . it only came to light when the machine wouldn't work as no water going to it , I turned on the water and got soaked from the damaged filter .Todays update is nothing people are off nobody about to help and my coffee machine is still off losing me money .Think very carefully before buying any machinery from Coca Cola Date of experience: June 07, 2024",1
26,Brian Dickie,NZ,"Jan 5, 2022","'Win with Coca Cola' I believe was a…'Win with Coca Cola' I believe was a competition that has been rigged or staged by the company. I have been entering every code from every label on every bottle of coke I have consumed (1770) entries in the $10,000 summer cash draw. Draw ended on 01/01/2022 with absolutely no published results that I can find... So who was the Winner, from where???Date of experience: January 05, 2022",1
